product_name,product_type,brand,brand_tier,price,price_segment,num_ingredients,num_skin_types,num_effects,complexity_score,has_key_active,skin_dry,skin_sensitive,skin_acne_prone,skin_oily,skin_combination,skin_normal,effect_hydrating,effect_barrier_repair,effect_soothing,effect_sun_protection,effect_acne_control,effect_brightening,effect_exfoliating,effect_anti-aging,effect_anti_aging,effect_general_skincare,product_cluster
The Ordinary Natural Moisturising Factors + HA 30ml,Moisturiser,The Ordinary,Budget,5.2,Budget,45,2,3,0.45081861958266456,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
CeraVe Facial Moisturising Lotion SPF 25 52ml,Moisturiser,CeraVe,Budget,13.0,Affordable,31,5,5,0.6536115569823435,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1
The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,Moisturiser,The Ordinary,Budget,6.2,Budget,18,2,1,0.24375601926163723,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMELIORATE Transforming Body Lotion 200ml,Moisturiser,AMELIORATE,Mid-range,22.5,Affordable,37,2,4,0.45772070626003203,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
CeraVe Moisturising Cream 454g,Moisturiser,CeraVe,Budget,16.0,Affordable,23,2,2,0.3090850722311396,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CeraVe Moisturising Lotion 473ml,Moisturiser,CeraVe,Budget,15.0,Affordable,24,2,2,0.31357945425361156,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CeraVe Facial Moisturising Lotion No SPF 52ml,Moisturiser,CeraVe,Budget,13.0,Affordable,21,5,3,0.5229534510433387,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1
The Ordinary Natural Moisturizing Factors + HA 100ml,Moisturiser,The Ordinary,Budget,6.8,Budget,45,2,3,0.45081861958266456,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
CeraVe Smoothing Cream 177ml,Moisturiser,CeraVe,Budget,12.0,Affordable,26,5,5,0.6311396468699839,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
Clinique Moisture Surge 72 Hour Moisturiser 75ml,Moisturiser,Clinique,Mid-range,37.0,Mid-range,35,1,2,0.3030176565008026,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2
